frame_idx,arcface_ms,yolo_ms,total_ms,fps,tracks,known_now,unknown_now
0,803.01,678.18,1481.19,0.68,1,1,0
1,26.38,0.05,26.43,37.83,1,1,0
2,29.28,0.06,29.34,34.08,1,1,0
3,43.99,0.14,44.12,22.66,1,1,0
4,32.96,0.13,33.09,30.22,1,1,0
5,518.13,0.06,518.19,1.93,1,1,0
6,12.9,0.05,12.95,77.22,1,1,0
7,13.06,0.05,13.11,76.25,1,1,0
8,13.82,468.65,482.47,2.07,1,1,0
9,11.88,0.06,11.95,83.72,1,1,0
10,289.3,0.05,289.35,3.46,1,1,0
11,12.68,0.05,12.73,78.54,1,1,0
12,15.21,0.08,15.29,65.39,1,1,0
13,12.5,0.05,12.55,79.69,1,1,0
14,11.7,0.05,11.75,85.13,1,1,0
15,301.59,0.11,301.7,3.31,2,2,0
16,22.55,354.67,377.22,2.65,2,2,0
17,23.38,0.05,23.43,42.67,2,2,0
18,21.46,0.05,21.51,46.49,2,2,0
19,21.04,0.05,21.09,47.41,2,2,0
20,372.44,0.05,372.49,2.68,2,2,0
21,23.27,0.06,23.33,42.87,2,2,0
22,23.65,0.07,23.72,42.16,2,2,0
23,24.55,0.06,24.6,40.65,2,2,0
24,22.58,365.34,387.92,2.58,2,2,0
25,269.0,0.0,269.0,3.72,2,2,0
26,26.35,0.01,26.36,37.94,2,2,0
27,23.98,0.01,23.99,41.69,2,2,0
28,26.97,0.01,26.98,37.06,2,2,0
29,24.27,0.01,24.27,41.2,2,2,0
30,286.0,0.0,286.0,3.5,2,2,0
31,23.19,0.01,23.2,43.1,2,2,0
32,23.25,397.89,421.14,2.37,2,2,0
33,26.58,0.09,26.68,37.48,2,2,0
34,20.62,0.08,20.7,48.31,2,2,0
35,309.94,0.09,310.03,3.23,2,2,0
36,22.48,0.1,22.58,44.29,2,2,0
37,21.4,0.16,21.56,46.38,2,2,0
38,24.8,0.3,25.1,39.85,2,2,0
39,22.45,0.09,22.54,44.36,2,2,0
40,278.66,353.8,632.46,1.58,2,2,0
41,28.51,0.05,28.57,35.01,2,2,0
42,23.09,0.06,23.14,43.21,2,2,0
43,27.65,0.06,27.7,36.09,2,2,0
44,23.23,0.06,23.29,42.94,2,2,0
45,301.06,0.05,301.11,3.32,2,2,0
46,24.42,0.05,24.48,40.86,2,2,0
47,29.24,0.06,29.3,34.13,2,2,0
48,21.37,379.25,400.61,2.5,2,2,0
49,23.82,0.05,23.87,41.9,2,2,0
50,293.13,0.05,293.18,3.41,2,2,0
51,22.7,0.05,22.75,43.96,2,2,0
52,22.98,0.05,23.03,43.43,2,2,0
53,26.83,0.05,26.88,37.21,2,2,0
54,20.86,0.05,20.91,47.82,2,2,0
55,297.91,0.05,297.96,3.36,2,2,0
56,22.75,404.94,427.69,2.34,2,2,0
57,23.38,0.05,23.43,42.68,2,2,0
58,23.12,0.05,23.17,43.16,2,2,0
59,23.61,0.06,23.67,42.25,2,2,0
60,703.56,0.07,703.63,1.42,2,2,0
61,32.55,0.07,32.63,30.65,2,2,0
62,26.72,0.06,26.78,37.34,2,2,0
63,21.46,0.06,21.52,46.48,2,2,0
64,33.32,435.79,469.11,2.13,2,2,0
65,320.67,0.04,320.71,3.12,2,2,0
66,22.5,0.04,22.54,44.37,2,2,0
67,21.35,0.05,21.39,46.74,2,2,0
68,22.88,0.04,22.92,43.63,2,2,0
69,29.19,0.07,29.26,34.17,2,2,0
70,311.92,0.04,311.96,3.21,2,2,0
71,28.96,0.06,29.02,34.46,2,2,0
72,26.21,395.87,422.08,2.37,2,2,0
73,28.26,0.1,28.36,35.26,2,2,0
74,25.88,0.09,25.97,38.51,2,2,0
75,335.11,0.08,335.19,2.98,2,2,0
76,23.66,0.09,23.75,42.1,2,2,0
77,26.64,0.09,26.72,37.42,2,2,0
78,22.65,0.08,22.73,43.99,2,2,0
79,21.71,0.08,21.79,45.89,2,2,0
80,262.79,418.2,680.99,1.47,2,2,0
81,19.28,0.09,19.37,51.62,2,2,0
82,28.29,0.08,28.37,35.25,2,2,0
83,22.64,0.1,22.74,43.98,2,2,0
84,22.5,0.11,22.61,44.23,2,2,0
85,320.61,0.1,320.71,3.12,2,2,0
86,20.36,0.17,20.53,48.7,2,2,0
87,27.67,0.12,27.79,35.99,2,2,0
88,27.17,377.14,404.3,2.47,2,2,0
89,22.95,0.11,23.06,43.36,2,2,0
90,285.31,0.1,285.42,3.5,2,2,0
91,23.04,0.09,23.12,43.25,2,2,0
92,19.68,0.09,19.77,50.57,2,2,0
93,25.93,0.09,26.02,38.43,2,2,0
94,24.27,0.09,24.36,41.06,2,2,0
95,349.41,0.09,349.5,2.86,2,2,0
96,25.57,492.75,518.32,1.93,2,2,0
97,23.95,0.11,24.06,41.56,2,2,0
98,27.0,0.1,27.09,36.91,2,2,0
99,21.5,0.09,21.59,46.32,2,2,0
100,373.38,0.09,373.47,2.68,2,2,0
101,26.55,0.09,26.64,37.54,2,2,0
102,22.98,0.08,23.06,43.36,2,2,0
103,23.16,0.09,23.26,43.0,2,2,0
104,25.87,364.76,390.63,2.56,2,2,0
105,362.36,0.05,362.41,2.76,2,2,0
106,24.19,0.06,24.25,41.24,2,2,0
107,24.54,0.06,24.6,40.66,2,2,0
108,22.39,0.05,22.44,44.57,2,2,0
109,25.41,0.05,25.46,39.28,2,2,0
110,320.02,0.05,320.06,3.12,2,2,0
111,24.19,0.05,24.24,41.25,2,2,0
112,26.22,452.09,478.31,2.09,2,2,0
113,25.12,0.1,25.22,39.65,2,2,0
114,22.46,0.09,22.55,44.34,2,2,0
115,358.33,0.09,358.42,2.79,3,3,0
116,25.76,0.08,25.84,38.7,3,3,0
117,30.39,0.09,30.48,32.81,3,3,0
118,33.65,0.15,33.8,29.59,3,3,0
119,30.47,0.15,30.62,32.66,3,3,0
120,285.66,393.16,678.82,1.47,3,3,0
121,32.33,0.14,32.47,30.8,3,3,0
122,24.73,0.09,24.83,40.28,3,3,0
123,30.97,0.08,31.05,32.2,3,3,0
124,28.59,0.09,28.69,34.86,3,3,0
125,324.86,0.08,324.94,3.08,3,3,0
126,24.27,0.08,24.34,41.08,3,3,0
127,25.73,0.08,25.8,38.75,3,3,0
128,23.49,430.59,454.08,2.2,3,3,0
129,28.1,0.05,28.15,35.53,3,3,0
130,352.59,0.05,352.64,2.84,3,3,0
131,26.02,0.05,26.07,38.36,3,3,0
132,27.97,0.05,28.02,35.69,3,3,0
133,25.7,0.04,25.74,38.85,3,3,0
134,23.69,0.04,23.73,42.13,3,3,0
135,299.02,0.04,299.06,3.34,3,3,0
136,26.72,430.87,457.59,2.19,3,3,0
137,26.35,0.08,26.44,37.83,3,3,0
138,29.45,0.09,29.54,33.85,3,3,0
139,24.04,0.08,24.12,41.47,3,3,0
140,294.99,0.08,295.07,3.39,3,3,0
141,25.86,0.09,25.95,38.53,3,3,0
142,29.07,0.09,29.16,34.29,3,3,0
143,26.26,0.09,26.35,37.95,3,3,0
144,36.81,404.0,440.81,2.27,3,3,0
145,370.35,0.09,370.45,2.7,3,3,0
146,26.3,0.18,26.48,37.76,3,3,0
147,25.57,0.08,25.65,38.99,3,3,0
148,25.3,0.09,25.39,39.39,3,3,0
149,27.5,0.08,27.59,36.25,3,3,0
150,322.79,0.09,322.88,3.1,3,3,0
151,25.01,0.1,25.11,39.82,3,3,0
152,33.34,459.65,492.99,2.03,3,3,0
