frame_idx,class,x1,y1,x2,y2
8,NO-Mask,953,250,1381,854
8,NO-Hardhat,950,254,1379,858
8,NO-Mask,136,319,590,779
16,NO-Mask,947,247,1379,895
16,NO-Mask,165,320,550,753
16,NO-Hardhat,167,317,549,752
24,NO-Mask,948,250,1377,852
24,NO-Mask,164,320,560,748
32,NO-Mask,948,272,1377,855
32,NO-Mask,195,321,591,768
32,NO-Hardhat,186,324,592,770
40,NO-Mask,946,244,1383,959
40,NO-Hardhat,946,244,1384,954
40,NO-Mask,157,299,570,752
40,NO-Hardhat,158,299,570,755
48,NO-Mask,945,245,1380,941
48,NO-Mask,140,303,570,723
48,NO-Hardhat,139,302,572,726
48,NO-Hardhat,946,244,1380,933
56,NO-Mask,943,242,1380,939
56,NO-Mask,153,314,579,736
56,NO-Hardhat,153,314,578,736
64,NO-Mask,948,239,1386,902
64,NO-Mask,163,322,575,740
64,NO-Hardhat,165,319,573,741
72,NO-Mask,957,238,1406,939
72,NO-Hardhat,959,238,1407,933
72,NO-Hardhat,170,326,585,762
