ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758416722.565773,dc9fb33c,104,1,1,0,anish,0.5073,786,313,1244,961
1758416722.641589,dc9fb33c,105,1,1,0,worker1,0.9143,371,94,443,183
1758416723.057936,dc9fb33c,106,1,1,0,anish,0.5535,810,299,1254,921
1758416723.226858,dc9fb33c,107,1,1,0,anish,0.5535,811,294,1255,916
1758416723.228698,dc9fb33c,0,1,1,0,worker1,0.9143,371,94,443,183
1758416723.239043,dc9fb33c,1,1,1,0,anish,0.5535,811,294,1255,916
1758416723.897834,dc9fb33c,2,1,1,0,worker1,0.9157,391,89,467,182
1758416723.945183,dc9fb33c,3,1,1,0,worker1,0.9157,391,89,467,182
1758416724.383041,dc9fb33c,4,1,1,0,worker1,0.9078,392,89,467,182
1758416724.408784,dc9fb33c,5,1,1,0,worker1,0.9078,392,89,467,182
1758416724.808172,dc9fb33c,6,1,1,0,worker1,0.9219,392,89,467,182
1758416724.83477,dc9fb33c,7,1,1,0,worker1,0.9219,392,89,467,182
1758416724.9549341,dc9fb33c,108,1,1,0,anish,0.5495,812,297,1251,914
